"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2011/07/01","10,308,577","795,579,578","78.40","78.40","76.90","77.10","-0.70","3,260",
"2011/07/04","11,519,386","878,923,552","77.10","77.40","75.80","75.90","-1.20","2,813",
"2011/07/05","10,442,432","783,259,232","76.00","76.10","74.70","75.00","-0.90","3,357",
"2011/07/06","9,128,624","691,077,765","75.00","76.30","75.00","76.10","+1.10","2,617",
"2011/07/07","7,369,904","559,878,164","76.10","76.40","75.60","76.00","-0.10","1,881",
"2011/07/08","11,938,879","910,362,842","76.00","77.30","75.60","76.00"," 0.00","3,416",
"2011/07/11","5,574,863","423,947,299","76.90","76.90","75.90","76.10","+0.10","1,735",
"2011/07/12","7,410,160","559,431,960","76.00","76.00","75.20","75.50","-0.60","2,110",
"2011/07/13","6,994,412","525,866,812","75.50","75.50","75.00","75.20","-0.30","1,870",
"2011/07/14","9,704,404","733,259,314","75.20","76.00","75.20","75.60","+0.40","1,938",
"2011/07/15","7,432,930","564,938,442","75.80","76.20","75.70","76.00","+0.40","1,638",
"2011/07/18","10,431,708","797,765,164","76.50","77.60","75.50","77.50","+1.50","2,870",
"2011/07/19","8,316,462","638,860,774","77.80","77.80","76.20","76.80","-0.70","2,693",
"2011/07/20","8,910,798","684,553,312","77.00","77.20","76.10","77.00","+0.20","2,451",
"2011/07/21","5,481,313","424,447,058","77.50","77.90","76.80","77.00"," 0.00","2,162",
"2011/07/22","4,370,242","336,368,272","77.70","77.70","76.60","77.00"," 0.00","2,184",
"2011/07/25","4,215,030","324,038,021","77.20","77.20","76.50","76.90","-0.10","1,396",
"2011/07/26","2,368,746","181,876,442","76.90","77.00","76.50","76.90"," 0.00","1,130",
"2011/07/27","2,459,667","188,878,459","77.00","77.20","76.40","76.90"," 0.00","1,448",
"2011/07/28","7,485,728","578,860,383","76.70","78.50","76.40","77.60","+0.70","2,631",
"2011/07/29","7,282,637","575,190,377","78.30","80.00","78.00","79.30","+1.70","3,775",
