"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2017/06/01","16,729,135","208,114,980","12.45","12.50","12.40","12.40","-0.05","3,977",
"2017/06/02","15,861,954","196,955,610","12.45","12.50","12.35","12.40"," 0.00","3,219",
"2017/06/03","5,733,226","71,028,288","12.45","12.45","12.35","12.40"," 0.00","1,191",
"2017/06/05","19,833,089","245,208,568","12.35","12.45","12.30","12.45","+0.05","4,962",
"2017/06/06","11,596,394","144,016,888","12.45","12.45","12.35","12.45"," 0.00","3,130",
"2017/06/07","17,606,298","218,826,583","12.45","12.50","12.40","12.45"," 0.00","3,647",
"2017/06/08","17,652,975","218,644,368","12.35","12.45","12.35","12.35","-0.10","3,307",
"2017/06/09","23,368,819","287,610,237","12.35","12.45","12.25","12.25","-0.10","4,353",
"2017/06/12","18,811,106","229,175,221","12.20","12.25","12.15","12.15","-0.10","3,185",
"2017/06/13","18,400,605","223,813,741","12.20","12.25","12.10","12.20","+0.05","2,520",
"2017/06/14","23,818,919","288,953,218","12.25","12.25","12.00","12.15","-0.05","3,083",
"2017/06/15","15,676,557","190,369,329","12.10","12.20","12.10","12.20","+0.05","1,848",
"2017/06/16","22,341,292","272,573,185","12.20","12.25","12.15","12.20"," 0.00","1,917",
"2017/06/19","17,387,303","212,203,680","12.20","12.25","12.15","12.25","+0.05","2,005",
"2017/06/20","10,463,389","128,437,550","12.25","12.30","12.20","12.30","+0.05","1,539",
"2017/06/21","74,633,765","928,203,057","12.25","12.55","12.20","12.40","+0.10","9,640",
"2017/06/22","18,503,737","229,157,614","12.45","12.50","12.30","12.40"," 0.00","2,624",
"2017/06/23","176,325,380","2,247,003,355","12.45","12.95","12.40","12.80","+0.40","19,279",
"2017/06/26","190,887,981","2,512,648,233","12.85","13.45","12.85","13.30","+0.50","25,223",
"2017/06/27","105,334,918","1,404,436,013","13.40","13.60","13.15","13.15","-0.15","15,388",
"2017/06/28","517,994,402","7,296,361,412","13.50","14.45","13.50","14.45","+1.30","51,541",
"2017/06/29","439,590,004","6,580,109,043","15.10","15.25","14.70","14.75","+0.30","48,672",
"2017/06/30","225,871,784","3,310,403,834","14.55","14.80","14.50","14.75"," 0.00","26,603",
