"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
" 2010/02/01","57,786,532","902,563,246","15.90","15.95","15.50","15.50","-0.55","11,331",
" 2010/02/02","49,001,518","768,687,481","15.90","15.90","15.45","15.60","+0.10","9,866",
" 2010/02/03","93,516,485","1,537,423,263","16.30","16.65","16.10","16.65","+1.05","16,796",
" 2010/02/04","129,928,664","2,187,800,611","16.80","17.15","16.50","16.50","-0.15","20,952",
" 2010/02/05","158,650,118","2,485,195,694","15.70","15.90","15.50","15.70","-0.80","21,405",
" 2010/02/06","53,872,879","851,522,614","15.70","16.00","15.55","16.00","+0.30","9,875",
" 2010/02/08","45,149,496","723,049,536","16.10","16.15","15.90","16.00"," 0.00","8,479",
" 2010/02/09","58,121,512","942,222,259","16.00","16.35","16.00","16.25","+0.25","10,052",
" 2010/02/10","81,428,506","1,328,246,438","16.35","16.50","16.20","16.25"," 0.00","13,497",
" 2010/02/22","61,394,948","1,009,605,284","16.60","16.70","16.25","16.60","+0.35","10,591",
" 2010/02/23","69,451,896","1,121,261,522","16.00","16.30","16.00","16.30","-0.30","11,517",
" 2010/02/24","80,917,098","1,286,946,342","16.15","16.15","15.80","15.95","-0.35","13,129",
" 2010/02/25","122,272,647","1,905,644,689","15.95","15.95","15.35","15.50","-0.45","16,907",
" 2010/02/26","73,356,277","1,127,631,737","15.40","15.50","15.20","15.45","-0.05","11,502",
