"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2015/07/01","38,562,865","509,755,593","13.10","13.30","13.05","13.25","+0.20","7,101",
"2015/07/02","43,922,375","580,521,689","13.15","13.30","13.15","13.15","-0.10","5,692",
"2015/07/03","25,399,801","335,984,825","13.20","13.30","13.15","13.30","+0.15","4,311",
"2015/07/06","39,231,972","515,947,247","13.20","13.30","13.00","13.05","-0.25","4,998",
"2015/07/07","51,268,200","666,462,533","13.05","13.20","12.90","12.90","-0.15","7,597",
"2015/07/08","102,642,371","1,286,659,085","12.85","12.90","12.30","12.40","-0.50","17,386",
"2015/07/09","57,784,722","711,853,253","12.25","12.50","12.05","12.45","+0.05","11,210",
"2015/07/13","100,128,917","1,249,498,086","12.50","12.60","12.50","12.55","+0.10","9,891",
"2015/07/14","56,661,584","692,477,711","12.20","12.35","12.15","12.15","X0.00","11,721",
"2015/07/15","54,716,757","667,500,303","12.30","12.30","12.10","12.20","+0.05","10,204",
"2015/07/16","28,888,293","352,848,696","12.30","12.35","12.15","12.20"," 0.00","6,544",
"2015/07/17","72,978,278","879,167,236","12.10","12.20","11.95","12.00","-0.20","9,948",
"2015/07/20","49,382,346","592,956,297","12.10","12.10","11.90","11.95","-0.05","7,304",
"2015/07/21","50,251,665","602,179,031","12.00","12.05","11.90","12.05","+0.10","8,465",
"2015/07/22","126,055,466","1,465,434,975","11.95","12.00","11.45","11.50","-0.55","17,621",
"2015/07/23","86,693,544","979,275,439","11.50","11.60","11.10","11.15","-0.35","13,692",
"2015/07/24","38,064,414","427,631,085","11.20","11.30","11.15","11.30","+0.15","7,805",
"2015/07/27","41,483,111","463,963,693","11.30","11.35","11.10","11.10","-0.20","6,661",
"2015/07/28","77,569,573","852,244,678","11.00","11.15","10.90","10.90","-0.20","13,926",
"2015/07/29","48,726,897","528,299,254","11.00","11.00","10.75","10.75","-0.15","9,217",
"2015/07/30","83,112,767","934,601,297","11.10","11.40","11.10","11.35","+0.60","11,965",
"2015/07/31","55,173,165","618,736,487","11.40","11.45","11.10","11.25","-0.10","8,961",
