"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2018/06/01","4,738,186","520,687,960","109.00","110.00","109.00","110.00","+1.00","2,406",
"2018/06/04","6,069,700","666,941,000","110.00","110.50","109.50","110.00"," 0.00","2,937",
"2018/06/05","4,622,474","509,130,140","110.00","110.50","110.00","110.00"," 0.00","2,099",
"2018/06/06","6,016,754","661,412,000","109.50","110.50","109.50","110.50","+0.50","3,464",
"2018/06/07","8,250,860","906,090,996","110.00","110.50","109.50","110.00","-0.50","3,512",
"2018/06/08","6,800,947","746,540,670","109.50","110.00","109.00","110.00"," 0.00","2,997",
"2018/06/11","6,304,406","692,877,660","110.00","110.50","109.50","109.50","-0.50","3,355",
"2018/06/12","6,809,011","747,259,210","109.50","110.50","109.50","109.50"," 0.00","3,185",
"2018/06/13","4,688,362","515,059,680","109.50","110.00","109.50","110.00","+0.50","2,593",
"2018/06/14","6,090,915","666,099,168","109.50","110.00","109.00","109.00","-1.00","3,226",
"2018/06/15","12,730,122","1,394,953,420","109.00","110.00","109.00","109.50","+0.50","3,407",
"2018/06/19","20,096,242","2,198,140,949","109.00","110.00","109.00","109.00","-0.50","4,893",
"2018/06/20","11,181,995","1,231,435,450","109.50","110.50","109.00","110.00","+1.00","5,535",
"2018/06/21","6,177,927","678,134,970","109.50","110.50","109.50","109.50","-0.50","3,655",
"2018/06/22","9,278,751","1,015,522,610","109.50","110.00","109.00","110.00","+0.50","3,609",
"2018/06/25","4,900,271","537,371,810","109.50","110.00","109.50","109.50","-0.50","1,954",
"2018/06/26","6,452,314","707,841,540","109.50","110.00","109.50","109.50"," 0.00","2,746",
"2018/06/27","7,336,800","805,575,070","109.50","110.50","109.50","109.50"," 0.00","2,409",
"2018/06/28","5,421,663","594,970,930","109.50","110.00","109.50","110.00","+0.50","2,568",
"2018/06/29","4,869,558","534,706,380","110.00","110.00","109.50","110.00"," 0.00","1,990",
