"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2013/09/02","2,985,028","232,085,759","77.70","78.00","77.40","77.60","-0.10","1,513",
"2013/09/03","2,901,253","226,341,291","78.00","78.30","77.40","78.20","+0.60","1,461",
"2013/09/04","4,586,152","359,083,568","78.00","78.90","77.30","78.60","+0.40","1,671",
"2013/09/05","5,495,153","432,805,900","78.40","79.00","78.10","78.90","+0.30","2,435",
"2013/09/06","3,280,143","258,211,154","78.90","79.00","78.10","78.10","-0.80","1,461",
"2013/09/09","4,000,308","314,508,122","78.10","79.00","77.40","79.00","+0.90","1,966",
"2013/09/10","5,834,183","461,512,446","79.00","79.50","78.80","79.50","+0.50","2,454",
"2013/09/11","5,967,763","475,199,220","79.20","80.00","79.00","80.00","+0.50","2,782",
"2013/09/12","4,390,374","350,320,894","79.80","80.10","79.00","79.80","-0.20","1,985",
"2013/09/13","3,952,585","308,605,905","79.80","79.80","77.50","77.50","-2.30","2,129",
"2013/09/14","1,044,276","81,841,845","78.50","78.60","77.80","78.20","+0.70","742",
"2013/09/16","9,337,401","746,239,180","78.90","80.20","78.90","80.20","+2.00","3,641",
"2013/09/17","4,569,945","363,570,105","79.90","80.00","78.90","79.50","-0.70","1,573",
"2013/09/18","6,064,588","474,745,358","79.40","79.50","77.80","77.80","-1.70","2,847",
"2013/09/23","4,372,368","343,617,190","77.80","79.00","77.30","79.00","+1.20","2,143",
"2013/09/24","2,221,484","174,810,708","78.90","79.00","78.10","78.80","-0.20","1,198",
"2013/09/25","3,461,685","273,139,377","78.50","79.10","78.40","79.10","+0.30","1,442",
"2013/09/26","3,240,445","253,117,046","79.10","79.10","77.50","77.80","-1.30","1,263",
"2013/09/27","4,632,027","366,235,903","78.50","79.60","78.10","78.90","+1.10","1,777",
"2013/09/30","5,101,867","401,698,944","78.30","79.20","77.80","78.60","-0.30","1,559",
