"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2018/12/03","8,728,897","359,014,142","40.95","41.30","40.90","41.30","+0.40","4,525",
"2018/12/04","11,210,731","465,365,373","41.25","41.80","40.90","41.65","+0.35","4,233",
"2018/12/05","4,896,177","200,667,907","40.95","41.30","40.55","41.00","-0.65","3,043",
"2018/12/06","6,294,989","255,209,941","40.90","41.00","39.85","41.00"," 0.00","3,488",
"2018/12/07","4,837,020","197,360,191","40.90","41.00","40.50","40.55","-0.45","2,950",
"2018/12/10","6,126,940","249,021,894","39.60","40.95","39.60","40.95","+0.40","2,752",
"2018/12/11","6,647,974","268,185,881","40.05","40.65","39.90","40.50","-0.45","3,183",
"2018/12/12","8,067,480","327,210,503","40.85","40.90","40.40","40.50"," 0.00","3,064",
"2018/12/13","6,847,978","277,899,544","40.35","40.75","40.10","40.75","+0.25","2,652",
"2018/12/14","4,283,796","173,164,688","40.25","40.70","40.25","40.45","-0.30","2,241",
"2018/12/17","5,865,062","236,392,284","40.35","40.50","40.20","40.20","-0.25","1,761",
"2018/12/18","8,957,075","359,126,200","40.00","40.50","39.80","40.00","-0.20","3,523",
"2018/12/19","11,552,315","470,045,137","40.40","41.15","40.15","41.00","+1.00","5,075",
"2018/12/20","5,153,447","211,769,440","40.60","41.50","40.60","41.20","+0.20","2,548",
"2018/12/21","8,533,110","349,345,581","40.80","41.05","40.65","41.00","-0.20","2,098",
"2018/12/22","885,617","35,778,867","40.30","40.55","40.20","40.40","-0.60","422",
"2018/12/24","5,262,409","213,347,021","40.15","41.10","40.00","40.40"," 0.00","1,882",
"2018/12/25","2,862,847","114,324,056","40.00","40.35","39.75","39.75","-0.65","1,029",
"2018/12/26","3,811,321","151,874,778","39.30","40.40","39.30","39.90","+0.15","1,807",
"2018/12/27","3,595,368","145,542,003","39.80","40.80","39.80","40.65","+0.75","1,926",
"2018/12/28","4,813,700","195,206,122","40.25","40.70","40.25","40.60","-0.05","1,652",
