"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2011/10/05","3,080,000","529,322,000","179.00","180.00","160.00","169.50","X0.00","1,965",
"2011/10/06","950,655","160,619,850","169.50","172.00","166.00","170.00","+0.50","701",
"2011/10/07","451,500","76,441,500","170.00","172.00","168.00","168.00","-2.00","360",
"2011/10/11","1,030,000","176,664,500","170.00","174.00","168.50","171.50","+3.50","640",
"2011/10/12","752,060","128,615,790","171.50","172.00","169.00","172.00","+0.50","439",
"2011/10/13","677,735","110,256,100","172.00","172.00","160.00","160.00","-12.00","554",
"2011/10/14","1,215,810","185,724,600","153.00","158.50","149.00","158.50","-1.50","754",
"2011/10/17","887,100","145,599,600","161.00","166.00","161.00","164.50","+6.00","569",
"2011/10/18","316,970","50,791,213","163.00","163.00","158.00","158.00","-6.50","258",
"2011/10/19","513,100","84,760,400","159.00","168.50","159.00","164.00","+6.00","419",
"2011/10/20","268,211","43,735,604","163.00","166.50","160.00","164.00"," 0.00","222",
"2011/10/21","887,165","150,338,550","166.50","174.00","166.00","167.50","+3.50","668",
"2011/10/24","390,001","64,638,671","169.00","169.00","164.00","165.00","-2.50","326",
"2011/10/25","246,000","40,262,000","164.50","166.00","161.00","164.00","-1.00","213",
"2011/10/26","141,215","22,953,760","163.50","164.00","161.00","163.50","-0.50","124",
"2011/10/27","220,100","36,287,500","164.00","166.00","163.00","163.50"," 0.00","196",
"2011/10/28","618,560","103,766,200","168.00","171.50","165.00","166.50","+3.00","520",
"2011/10/31","366,360","61,691,480","167.00","170.50","166.50","168.50","+2.00","270",
