"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2017/11/01","7,478,035","166,228,220","22.25","22.40","22.00","22.10","-0.10","2,783",
"2017/11/02","6,891,449","151,329,814","22.10","22.10","21.80","21.90","-0.20","2,993",
"2017/11/03","6,304,451","139,152,370","21.90","22.25","21.85","22.15","+0.25","2,455",
"2017/11/06","5,190,908","114,412,902","22.15","22.20","21.80","22.20","+0.05","1,866",
"2017/11/07","4,969,577","109,326,020","22.20","22.20","21.90","22.00","-0.20","2,261",
"2017/11/08","11,834,943","262,971,242","22.00","22.45","21.90","22.45","+0.45","3,471",
"2017/11/09","14,828,499","330,132,550","22.35","22.40","22.10","22.25","-0.20","3,680",
"2017/11/10","26,850,608","577,378,814","22.05","22.10","21.20","21.35","-0.90","6,717",
"2017/11/13","10,992,892","234,241,334","21.35","21.60","21.15","21.25","-0.10","3,565",
"2017/11/14","13,763,411","289,305,731","21.20","21.25","20.85","21.00","-0.25","4,331",
"2017/11/15","9,968,473","208,379,918","21.00","21.10","20.80","20.85","-0.15","3,202",
"2017/11/16","10,498,030","219,779,298","20.85","21.10","20.85","20.85"," 0.00","2,804",
"2017/11/17","12,050,611","252,279,140","21.05","21.15","20.80","20.80","-0.05","2,742",
"2017/11/20","12,338,069","254,435,956","21.00","21.00","20.45","20.45","-0.35","3,572",
"2017/11/21","13,636,835","282,486,815","20.55","20.95","20.55","20.65","+0.20","4,437",
"2017/11/22","8,573,792","178,184,106","20.80","20.85","20.70","20.80","+0.15","2,580",
"2017/11/23","4,981,548","103,499,205","20.90","20.90","20.70","20.75","-0.05","1,962",
"2017/11/24","6,851,958","142,766,605","20.75","20.90","20.70","20.85","+0.10","1,361",
"2017/11/27","4,650,826","96,965,704","20.80","20.95","20.80","20.90","+0.05","1,626",
"2017/11/28","13,592,048","280,775,922","20.90","20.95","20.45","20.55","-0.35","3,953",
"2017/11/29","6,039,070","124,551,874","20.70","20.75","20.50","20.70","+0.15","2,004",
"2017/11/30","24,738,011","512,805,162","20.80","20.80","20.50","20.75","+0.05","2,740",
