"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2016/09/01","2,606,372","319,283,012","124.50","124.50","121.00","122.00","X0.00","1,879",
"2016/09/02","2,593,966","308,984,488","122.00","123.00","116.50","118.50","-3.50","1,975",
"2016/09/05","1,487,068","177,186,057","119.50","120.50","117.50","119.50","+1.00","1,179",
"2016/09/06","1,950,113","236,556,719","122.00","123.00","120.00","121.50","+2.00","1,507",
"2016/09/07","1,740,356","208,713,364","120.50","121.00","119.00","120.00","-1.50","1,493",
"2016/09/08","4,470,063","547,628,646","118.50","124.50","118.50","122.00","+2.00","2,750",
"2016/09/09","1,306,771","158,180,170","120.50","122.50","120.00","122.00"," 0.00","1,039",
"2016/09/10","498,072","59,554,068","119.00","121.00","118.50","119.00","-3.00","411",
"2016/09/12","3,452,047","405,969,905","118.50","120.50","115.50","115.50","-3.50","2,225",
"2016/09/13","2,775,191","321,638,274","117.00","118.00","115.00","115.00","-0.50","1,778",
"2016/09/14","2,980,258","342,275,412","115.00","117.00","114.00","114.00","-1.00","1,750",
"2016/09/19","3,017,658","356,177,125","115.50","120.00","114.50","119.50","+5.50","1,957",
"2016/09/20","3,817,375","442,698,933","117.50","118.00","114.00","114.50","-5.00","2,751",
"2016/09/21","4,809,701","539,324,012","113.50","114.50","110.50","113.00","-1.50","2,986",
"2016/09/22","4,363,869","485,862,016","114.00","114.50","109.50","110.50","-2.50","2,662",
"2016/09/23","4,884,845","540,474,640","112.00","113.00","108.00","113.00","+2.50","3,113",
"2016/09/26","4,224,005","463,837,545","112.50","112.50","108.50","109.00","-4.00","2,545",
"2016/09/29","13,159,236","1,361,068,678","108.00","108.00","100.50","102.50","-6.50","7,475",
"2016/09/30","6,035,451","629,361,453","104.00","105.50","103.00","103.00","+0.50","3,935",
