"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2017/04/05","6,169,424","462,107,500","74.30","75.50","74.30","75.20","+0.70","3,328",
"2017/04/06","2,376,832","179,130,400","75.30","75.50","74.80","75.40","+0.20","1,180",
"2017/04/07","3,003,566","226,374,266","74.90","75.70","74.90","75.70","+0.30","1,418",
"2017/04/10","2,438,524","184,475,608","75.60","75.80","75.20","75.70"," 0.00","1,344",
"2017/04/11","2,553,904","194,160,781","75.80","76.30","75.70","76.10","+0.40","1,485",
"2017/04/12","3,134,986","238,336,829","76.00","76.30","75.50","75.90","-0.20","1,308",
"2017/04/13","3,239,547","245,512,358","75.70","76.00","75.50","75.80","-0.10","1,810",
"2017/04/14","1,862,760","141,156,252","75.50","76.00","75.40","75.70","-0.10","1,003",
"2017/04/17","2,549,948","194,003,528","75.70","76.50","75.50","76.20","+0.50","1,277",
"2017/04/18","2,163,729","164,498,217","76.20","76.30","75.60","75.90","-0.30","1,230",
"2017/04/19","3,366,508","254,295,540","75.50","75.90","74.90","74.90","-1.00","2,052",
"2017/04/20","4,540,633","340,439,775","75.00","75.20","74.90","74.90"," 0.00","2,092",
"2017/04/21","3,482,694","260,542,276","74.50","75.00","74.50","74.80","-0.10","2,172",
"2017/04/24","3,405,131","253,647,749","74.80","74.80","74.40","74.40","-0.40","1,580",
"2017/04/25","7,131,984","528,426,701","74.40","74.40","73.80","74.10","-0.30","3,632",
"2017/04/26","6,813,871","503,269,037","74.00","74.00","73.60","73.80","-0.30","3,184",
"2017/04/27","3,175,971","234,795,146","73.40","74.20","73.40","73.90","+0.10","1,846",
"2017/04/28","5,715,391","424,298,228","73.70","74.80","73.50","74.30","+0.40","2,846",
