"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2018/01/02","236,687","17,812,530","74.80","75.50","74.70","75.50","+0.50","182",
"2018/01/03","493,902","37,226,613","75.80","75.80","74.90","75.20","-0.30","447",
"2018/01/04","490,083","36,648,825","75.60","75.60","74.60","74.80","-0.40","393",
"2018/01/05","709,705","52,797,705","74.80","74.80","74.10","74.40","-0.40","625",
"2018/01/08","719,637","53,386,551","74.40","74.60","73.80","74.60","+0.20","540",
"2018/01/09","693,907","51,701,737","74.40","74.80","74.10","74.80","+0.20","553",
"2018/01/10","262,577","19,597,193","74.70","74.70","74.40","74.70","-0.10","151",
"2018/01/11","385,208","28,662,756","74.80","74.80","74.10","74.60","-0.10","315",
"2018/01/12","539,696","40,174,479","74.40","74.80","74.10","74.40","-0.20","357",
"2018/01/15","402,534","30,097,780","74.80","74.90","74.40","74.90","+0.50","221",
"2018/01/16","498,327","37,400,049","75.20","75.30","74.70","75.10","+0.20","353",
"2018/01/17","584,024","44,004,015","75.00","75.70","75.00","75.50","+0.40","472",
"2018/01/18","879,403","67,001,902","75.80","76.50","75.50","76.40","+0.90","626",
"2018/01/19","587,081","44,821,684","76.50","76.70","76.00","76.50","+0.10","345",
"2018/01/22","853,769","65,238,126","76.90","76.90","75.90","76.70","+0.20","409",
"2018/01/23","782,176","59,953,060","76.70","77.00","76.20","76.70"," 0.00","476",
"2018/01/24","1,056,424","81,168,548","76.50","77.10","76.00","77.10","+0.40","585",
"2018/01/25","1,181,797","91,259,323","77.30","77.50","76.60","77.00","-0.10","696",
"2018/01/26","546,022","42,044,290","76.90","77.20","76.40","77.10","+0.10","350",
"2018/01/29","565,367","43,400,309","77.00","77.00","76.60","76.60","-0.50","416",
"2018/01/30","528,008","40,575,706","76.40","77.20","76.40","76.70","+0.10","330",
"2018/01/31","586,115","44,955,107","76.00","77.00","75.80","76.80","+0.10","452",
