"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數"
"2015/08/03","1,612,342","131,112,114","82.10","82.40","80.60","81.80","-0.30","1,285",
"2015/08/04","1,122,599","92,231,176","82.10","82.60","81.80","82.50","+0.70","899",
"2015/08/05","1,042,212","86,066,884","82.10","83.00","82.00","82.80","+0.30","710",
"2015/08/06","948,541","77,439,096","82.70","83.00","81.00","81.50","-1.30","735",
"2015/08/07","820,440","66,857,835","80.90","82.50","80.10","81.70","+0.20","601",
"2015/08/10","655,927","53,206,186","80.80","81.60","80.70","81.00","-0.70","474",
"2015/08/11","961,698","77,373,526","80.70","81.50","79.90","80.00","X0.00","784",
"2015/08/12","744,367","59,433,796","79.90","80.40","79.50","79.90","-0.10","567",
"2015/08/13","1,398,257","111,237,706","80.10","80.80","79.00","79.10","-0.80","1,095",
"2015/08/14","2,165,091","166,659,221","78.00","78.30","75.90","76.60","-2.50","1,443",
"2015/08/17","1,015,862","79,770,435","76.60","79.60","76.60","79.00","+2.40","795",
"2015/08/18","1,472,702","113,910,792","79.10","79.50","76.50","76.50","-2.50","1,097",
"2015/08/19","1,368,973","104,554,428","75.20","78.00","75.00","76.60","+0.10","1,184",
"2015/08/20","2,102,838","161,826,726","75.40","79.50","75.20","77.60","+1.00","1,537",
"2015/08/21","1,446,428","110,939,107","76.10","77.80","76.00","76.90","-0.70","1,116",
"2015/08/24","2,115,238","161,789,937","75.50","79.00","74.00","77.90","+1.00","1,566",
"2015/08/25","3,321,340","250,222,457","76.40","77.40","74.90","74.90","-3.00","1,588",
"2015/08/26","1,803,427","134,627,751","74.90","75.80","73.30","75.20","+0.30","1,144",
"2015/08/27","1,693,147","129,670,491","75.30","77.90","75.20","77.90","+2.70","1,252",
"2015/08/28","2,776,828","223,568,368","80.00","81.00","78.20","80.80","+2.90","1,185",
"2015/08/31","2,094,350","166,901,603","81.20","81.20","78.30","80.80"," 0.00","1,438",
